"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"118",2,"IPW",0.0659515742813836,0.15761226426436,0.0248416258465384,0.197615115488444,0.244682281704486,350,0.00595718364024698
"119",1.5,"IPW",0.0350347917657898,0.118994045271501,0.014159582810076,0.152304014057723,0.177681123654642,350,0.0044975521612279
"120",1,"IPW",0.0128728424769886,0.0790140033806371,0.00624321273023534,0.114213007309452,0.119170511650521,350,0.00298644861481118
"121",0.5,"IPW",0.00759345187172049,0.059624321486216,0.00355505971269164,0.0873797783546,0.0874638029512966,350,0.00225358752490704
"122",0,"IPW",1.09847797495076e-05,0.0537907755893803,0.00289344753850707,0.0770880830917747,0.0801941412585753,350,0.00203310021483977
"123",-0.5,"IPW",-0.0045535657993016,0.0564038661474117,0.00318139611637514,0.085972702655954,0.0882232006936004,350,0.00213186575440895
"124",-1,"IPW",-0.013508554981561,0.074720454060137,0.00558314625495305,0.109651947215277,0.113597656360103,350,0.00282416770418499
"125",-1.5,"IPW",-0.0269371367983611,0.106221357504244,0.0112829767900444,0.147118086110205,0.155296013922146,350,0.00401478994114163
"126",-2,"IPW",-0.0448799777194438,0.156628706363398,0.0245325516570716,0.18880945786902,0.222712545190666,350,0.00592000864587587
"127",2,"MLE",0.0189861776117953,0.0961960488826181,0.00925367982062706,0.141394073563987,0.140795840422943,400,0.00340104392441259
"128",1.5,"MLE",0.0103926927286192,0.0743349286693522,0.00552568162027768,0.112628647764469,0.108163904847967,400,0.00262813660705586
"129",1,"MLE",0.00554443169261241,0.0658570203346686,0.00433714712736095,0.0885614364678531,0.0958858799593399,400,0.00232839728336923
"130",0.5,"MLE",0.00316023089000278,0.0512791054534834,0.00262954665610947,0.0760133155084387,0.0759863813848899,400,0.00181299015996691
"131",0,"MLE",-0.00074949076781778,0.048879121264076,0.00238916849554825,0.0712879269251124,0.0726304743572458,400,0.00172813790521339
"132",-0.5,"MLE",-0.00367569010753627,0.0498635576629023,0.00248637438280158,0.0754249898853915,0.0760087108169685,400,0.00176294298787623
"133",-1,"MLE",-0.0050777839636934,0.0579808300909166,0.00336177665803174,0.087012156212492,0.0867938396134757,400,0.00204993190680561
"134",-1.5,"MLE",-0.011754487187473,0.0760240904784271,0.00577966233307207,0.106890753930479,0.112192757428623,400,0.00268785749554177
"135",-2,"MLE",-0.00802922868930459,0.0883559396772713,0.00780677207625361,0.133481400236383,0.139481200283235,400,0.0031238542051954
"136",2,"IPW",0.0444406659898589,0.142660128724376,0.0203519123276556,0.187007181800943,0.210943457979283,400,0.00504379722129761
"137",1.5,"IPW",0.0244694514787327,0.104670473247486,0.0109559079698527,0.143588988693253,0.157905347680888,400,0.00370066007116513
"138",1,"IPW",0.0155669495953313,0.0792617509679493,0.00628242516650522,0.105268449758203,0.117522450588497,400,0.00280232607990782
"139",0.5,"IPW",0.00363516698987197,0.0536879107816369,0.002882391764097,0.0803084348464176,0.0811277363851656,400,0.00189815428907169
"140",0,"IPW",-0.000599908865946443,0.0484855829507699,0.00235085175407599,0.0714074670839944,0.072815951594324,400,0.00171422422471361
"141",-0.5,"IPW",-0.00501027910192614,0.055280899150664,0.00305597781090589,0.0796571183016604,0.0823384196735154,400,0.00195447493297621
"142",-1,"IPW",-0.0100225395167868,0.0718487075977775,0.00516223678347092,0.102104960298742,0.105682369632678,400,0.00254023541809389
"143",-1.5,"IPW",-0.0260931653513495,0.101875567611718,0.0103786312762098,0.136538115728383,0.150242941620384,400,0.00360184523477373
"144",-2,"IPW",-0.0250170298610344,0.129233016461983,0.0167011725438633,0.176081252894512,0.195794749858722,400,0.00456907711467306
"145",2,"MLE",0.0114034299194951,0.0865112856123259,0.00748420253829743,0.132919168838589,0.128794765103669,450,0.00288370952041086
"146",1.5,"MLE",0.00924986485820616,0.0702734442900893,0.00493835697239228,0.103539645886407,0.102138397316109,450,0.00234244814300298
"147",1,"MLE",0.00377790990078661,0.0554511194348453,0.00307482664657748,0.0834981425603547,0.0848742567145377,450,0.00184837064782818
"148",0.5,"MLE",0.00759409784586599,0.0482454578387014,0.00232762420206591,0.0714553015012865,0.0695729635517263,450,0.00160818192795671
"149",0,"MLE",-0.000173198845175277,0.0461578845740678,0.00213055030835297,0.0670699457155126,0.0666833509089716,450,0.00153859615246893
"150",-0.5,"MLE",-0.00584999926396132,0.0478065648410671,0.00228546764190315,0.0704949919019788,0.0687967016145205,450,0.0015935521613689
"151",-1,"MLE",-0.00216358134052509,0.0609162935557835,0.00371079482057439,0.0837623116740935,0.0901301063970415,450,0.00203054311852612
"152",-1.5,"MLE",-0.00454289468030504,0.0628074043369635,0.00394477003954682,0.101470482501119,0.099995693970835,450,0.00209358014456545
"153",-2,"MLE",-0.00455499782920335,0.0889195332913289,0.00790668340074776,0.127875228156864,0.129460072982382,450,0.0029639844430443
"154",2,"IPW",0.037755743176481,0.130696486631617,0.0170815716178485,0.177432886087971,0.187516325528525,450,0.00435654955438724
"155",1.5,"IPW",0.0153154606275837,0.0940446078609753,0.00884438826772461,0.132119903687942,0.136205988707961,450,0.00313482026203251
"156",1,"IPW",0.00893044683484756,0.0625100722982313,0.00390750913873011,0.0979930720127575,0.101816079718862,450,0.00208366907660771
"157",0.5,"IPW",0.0105469321023463,0.0511890745904802,0.00262032135742974,0.0759583126225258,0.0753892407386375,450,0.00170630248634934
"158",0,"IPW",-0.000133830799649224,0.0468068158942661,0.00219087801415972,0.0674098774899613,0.0673566639411665,450,0.00156022719647554
"159",-0.5,"IPW",-0.0089761970982696,0.0501097270611133,0.00251098474613927,0.075009768142416,0.0732625819121723,450,0.00167032423537044
"160",-1,"IPW",-0.00706038421712612,0.0703790776779256,0.00495321457479549,0.0982656542617376,0.107548438995891,450,0.00234596925593085
"161",-1.5,"IPW",-0.0124143662433895,0.0923721731560287,0.00853261837356736,0.126485139580531,0.139677921716055,450,0.00307907243853429
"162",-2,"IPW",-0.0241886942611142,0.123433611642558,0.0152358564831258,0.166766239096963,0.177116698323253,450,0.0041144537214186
"163",2,"MLE",0.012666231347909,0.0882805946675915,0.00779346339486359,0.12752459400449,0.128977046081535,500,0.00279167752343704
"164",1.5,"MLE",0.00701003917264911,0.0641123510749396,0.00411039356035631,0.0981735684431931,0.0976195359090635,500,0.00202741055545154
"165",1,"MLE",0.00961974577324456,0.0562035260322968,0.00315883633846306,0.079284478690494,0.0816983825246511,500,0.00177731154794624
"166",0.5,"MLE",0.00257745605125172,0.0434492610978467,0.00188783828994886,0.0673411461752238,0.0654792909496987,500,0.00137398627720544
"167",0,"MLE",0.0014257445640144,0.0406296624528977,0.0016507694710364,0.0631124184401299,0.0634467307633977,500,0.0012848227391498
"168",-0.5,"MLE",-0.00041372566161744,0.0467771171301739,0.00218809868701001,0.0673570318039748,0.0668963336301198,500,0.00147922232507828
"169",-1,"MLE",-0.00307232370636542,0.0548601786485034,0.00300963920134571,0.0801761816264264,0.07793985564201,500,0.00173483117373009
"170",-1.5,"MLE",-0.0127700279927879,0.0669439583675981,0.00448149356192271,0.0980957585386752,0.098570577254513,500,0.00211695384029098
"171",-2,"MLE",-0.0189264953543917,0.0802227803965029,0.00643569449454553,0.121988414042733,0.12274339342161,500,0.00253686706284455
"172",2,"IPW",0.0277418258208405,0.116503343564307,0.013573029061663,0.165413671512997,0.172314889237643,500,0.0036841592068833
"173",1.5,"IPW",0.0174688870668574,0.0888101551765819,0.00788724366248855,0.1218170946833,0.133255177447988,500,0.00280842369710992
"174",1,"IPW",0.0141493246606959,0.0669252390210675,0.00447898761802702,0.0930186465110539,0.0975149800655763,500,0.00211636188257751
"175",0.5,"IPW",0.00410981737811322,0.0469971901857485,0.00220873588535541,0.0712580859704457,0.0695618853891037,500,0.00148618164615077
"176",0,"IPW",0.00143541816455008,0.0411795337707986,0.00169575400158034,0.0632981623404936,0.0638174776586863,500,0.00130221119699546
"177",-0.5,"IPW",-0.00155729771527595,0.0493264949766887,0.00243310310668529,0.0710022126808888,0.0718662160217644,500,0.0015598407311919
"178",-1,"IPW",-0.00614379260679085,0.0636706205399949,0.00405394791994802,0.0934552637921138,0.0943154271636815,500,0.00201344180942684
"179",-1.5,"IPW",-0.0197884608972217,0.0870165080752804,0.00757187267761534,0.121700582856931,0.127477103189153,500,0.00275170359552321
"180",-2,"IPW",-0.0271502068260892,0.113459707336303,0.0128731051888395,0.158658497163923,0.165344789022618,500,0.00358791097838833
"181",2,"MLE",0.0111128272865308,0.083252407195164,0.00693096330378939,0.120912523638152,0.117035429681621,550,0.00251015452327494
"182",1.5,"MLE",0.00341850197907033,0.0675069725729951,0.00455719134597112,0.0937399731932586,0.0979999206325352,550,0.0020354118068858
"183",1,"MLE",0.00484271979793265,0.0516707770939073,0.00266986920548825,0.0751201262599476,0.0769936417651706,550,0.00155793254769619
"184",0.5,"MLE",0.00120166656782228,0.0445674752662174,0.0019862598516049,0.0639395957899902,0.062814934002889,550,0.00134375993919534
"185",0,"MLE",4.44905035504927e-05,0.0378810718452521,0.00143497560414515,0.0600005391680451,0.0602338965289745,550,0.00114215729061088
"186",-0.5,"MLE",-0.00456868097401214,0.0444474133756869,0.00197557255578919,0.0643691099137865,0.0661020719022828,550,0.0013401399369907
"187",-1,"MLE",-0.00632906527631951,0.052715033470235,0.002778874753768,0.0764324348171875,0.0812909148948479,550,0.00158941806210724
"188",-1.5,"MLE",-0.00980778145478025,0.0611971571399974,0.00374509204201753,0.0934227876743266,0.0950740661456418,550,0.00184516371336173
"189",-2,"MLE",-0.00973512100339314,0.079412769492409,0.00630638795845448,0.115664988103186,0.116757569753169,550,0.00239438509063002
"190",2,"IPW",0.0266431580661879,0.113457735895719,0.0128726578345828,0.156842928335564,0.168949334853601,550,0.00342087945026671
"191",1.5,"IPW",0.00892181061921829,0.0833566907159344,0.00694833788711193,0.117676555763756,0.122781108445142,550,0.00251329878973141
"192",1,"IPW",0.0101656067661749,0.0626089183461715,0.00391987665647757,0.0872661148911519,0.0917462975789706,550,0.00188772991531136
"193",0.5,"IPW",0.000366426355923972,0.0469347513485116,0.00220287088414661,0.0670638604879358,0.0654807591182329,550,0.00141513599865127
"194",0,"IPW",7.38246861708727e-06,0.0383253990640863,0.00146883621342147,0.0599554826931219,0.0599920294605581,550,0.0011555542603292
"195",-0.5,"IPW",-0.00614183514099109,0.0452369738717395,0.00204638380507244,0.0679339175348126,0.0685390044204687,550,0.00136394608166973
"196",-1,"IPW",-0.00679086175440677,0.0628912703176354,0.00395531188216589,0.0883243786884782,0.0937935595789938,550,0.00189624314756738
"197",-1.5,"IPW",-0.0191994310216589,0.0784236870450054,0.00615027468973294,0.115193985609281,0.122162960895936,550,0.00236456313276853
"198",-2,"IPW",-0.0163739323051682,0.103931830390566,0.0108018253683333,0.147433561940063,0.151050935192207,550,0.00313366259254875
"199",2,"MLE",0.0127629599338336,0.0775622992822205,0.00601591026994475,0.11609002572337,0.119670275173608,600,0.00223903071847782
"200",1.5,"MLE",0.00557101719678871,0.0546978910549128,0.00299185928585511,0.0909699835987907,0.0860036638799817,600,0.00157899210623294
"201",1,"MLE",0.00472873321497456,0.0542033802948631,0.00293800643538955,0.072398814041785,0.0755067580714994,600,0.00156471681021134
"202",0.5,"MLE",-0.000357945567683551,0.0409801095869855,0.00167936938176134,0.0613505111557918,0.0644514679409249,600,0.00118299386507332
"203",0,"MLE",-0.00219466253158716,0.0390490280549941,0.00152482659203972,0.0580547308833164,0.0595038662408276,600,0.00112724834295721
"204",-0.5,"MLE",-0.00332243793187483,0.0407710013645201,0.0016622745522657,0.0619992766498704,0.0619784263567965,600,0.00117695743064681
"205",-1,"MLE",-0.00385077216994346,0.0490416130472595,0.00240507981027713,0.0725095198006432,0.0721136736684326,600,0.00141570942471644
"206",-1.5,"MLE",-0.00351488734856349,0.065060857129201,0.0042329151303863,0.0888867760367628,0.0925456953262243,600,0.0018781451688626
"207",-2,"MLE",-0.0112092042586587,0.0734407344894136,0.00539354148234454,0.111263964099015,0.113085356032636,600,0.00212005139134734
"208",2,"IPW",0.0293633325617535,0.106181013593989,0.0112744076478468,0.147944724838016,0.1617379825355,600,0.00306518183906584
"209",1.5,"IPW",0.00979889005946837,0.0737693004857877,0.00544190969416244,0.112456688268958,0.114029973153945,600,0.00212953627467
"210",1,"IPW",0.00762128256298281,0.0616617488245726,0.00380217126810468,0.0837126355999595,0.086739513345085,600,0.0017800213641285
"211",0.5,"IPW",0.00138691283822215,0.0444083677803515,0.00197210312891496,0.0647113210362598,0.0673566220767268,600,0.00128195915461289
"212",0,"IPW",-0.00211019017997488,0.0387253801186736,0.00149965506533576,0.0581603699092962,0.0597009876559027,600,0.00111790543179934
"213",-0.5,"IPW",-0.00484769651183091,0.0446860800724955,0.00199684575224548,0.0654559177380866,0.064875380818609,600,0.00128997601794422
"214",-1,"IPW",-0.00584110896651483,0.0564302081441732,0.00318436839119471,0.0834946603454118,0.0846068293651099,600,0.00162899979312325
"215",-1.5,"IPW",-0.00689854045510177,0.0889998246088555,0.00792096878040704,0.10994607375036,0.119658208339174,600,0.00256920363478761
"216",-2,"IPW",-0.0241263877592059,0.091577014670807,0.00838634961601721,0.139221863559055,0.146226235901984,600,0.00264360070358864
"217",2,"MLE",0.012398690052054,0.0738643695759673,0.00545594509285508,0.111000338641844,0.108533271541559,650,0.00204862901489209
"218",1.5,"MLE",0.00657170800916431,0.0601875671716721,0.00362254324204454,0.088475536067256,0.0901558792100845,650,0.00166930276602228
"219",1,"MLE",0.00296803689920971,0.0502466665651698,0.00252472750091135,0.0695503686676782,0.0750798072751529,650,0.00139359179016817
"220",0.5,"MLE",0.00119875893047707,0.0418953303552015,0.00175521870557147,0.0589645074098892,0.0591332306266859,650,0.00116196739844755
"221",0,"MLE",0.00257349453458881,0.0367252299403782,0.00134874251417365,0.0552797060822653,0.0542256812614903,650,0.00101857461271722
"222",-0.5,"MLE",-0.00410454505229409,0.0364959142921773,0.00133195176002195,0.0592647766481323,0.0572438701328642,650,0.00101221454096449
"223",-1,"MLE",-0.00849994457762254,0.049086032322004,0.00240943856911682,0.0700429904314124,0.0756795842217722,650,0.00136140158804668
"224",-1.5,"MLE",-0.0110177188992284,0.058267296428765,0.00339507783311757,0.0862434184706614,0.086009124946124,650,0.00161604403812748
"225",-2,"MLE",-0.00912115641817423,0.0757657137376337,0.00574044337817306,0.105476977169501,0.11029818505326,650,0.0021013628138705
"226",2,"IPW",0.0215224870586674,0.0974930272155208,0.00950489035564628,0.139667185858252,0.144109120133566,650,0.00270397006635205
"227",1.5,"IPW",0.0142683598491918,0.0793868553882202,0.00630227280843019,0.10918048143093,0.116026389404911,650,0.00220179521307748
"228",1,"IPW",0.00866753739956726,0.0596818494202018,0.00356192315021564,0.0800677617281138,0.0865366574811145,650,0.00165527667922352
"229",0.5,"IPW",0.00237284457705465,0.0432903905226448,0.00187405791160309,0.0618050956330184,0.0622763245926369,650,0.00120065940587889
"230",0,"IPW",0.00267087570143796,0.0366014218096776,0.00133966407848994,0.0555536502425441,0.0543021218033311,650,0.00101514079299753
